Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
1,"M|P|Q|RA|XA|MB|ID|WD|OE|MF|OF|UH|SP|HU|YU|RV|LY|TY|WY|NAA|CDA|KDA|UEA|FFA|OJA|VJA|AKA|SKA|DMA|HMA|VMA|XMA|INA|JNA|LNA",35,Yes,"2.00","0.00","45.00","0.71","0.80","1.00","5.00","82.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[M-REAL]CRP|[L/M]ERSepsisTriage|[M-REAL]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]END
2,"LA|BC|HC|PC|LF|VH|AM|UN|ZN|JP|PP|GR|TT|PX|GZ|NBA|MCA|OCA|UCA|UHA|VHA|CIA|MLA|WMA",24,Yes,"2.00","1.00","64.00","0.86","0.83","0.86","7.00","114.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[M-REAL]CRP|[L/M]ERSepsisTriage|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]CRP|[L/M]END
3,"R|WB|DE|NE|MH|WH|CK|TK|DN|NQ|QR|VV|RX|VX|KY|UAA|ICA|DIA|XIA|LLA|NLA|ENA",22,Yes,"1.00","0.00","28.00","1.00","0.92","0.86","7.00","62.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[L]ERSepsisTriage|[L/M]CRP|[M-INVI]tau from tree|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]END
4,"ZA|AB|JB|FI|EN|OP|DQ|AT|KU|DV|UX|PY|ACA",13,Yes,"4.00","0.00","174.00","1.00","0.73","0.60","10.00","234.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[L]ERSepsisTriage|[L/M]CRP|[M-INVI]tau from tree|[L]LacticAcid|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]IVLiquid|[L]IVAntibiotics|[L/M]END
5,"PA|YA|IK|FS|NS|WS|AX|BY|EZ|REA|EFA",11,Yes,"3.00","0.00","109.00","0.86","0.77","0.75","8.00","168.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[M-REAL]CRP|[L/M]ERSepsisTriage|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]CRP|[L]LacticAcid|[L/M]END
6,"EB|UG|SN|LO|ZY|PAA|IFA|TLA|DNA",9,Yes,"5.00","1.00","202.00","0.86","0.67","0.60","10.00","249.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[M-REAL]CRP|[L/M]ERSepsisTriage|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]CRP|[L]LacticAcid|[L]IVLiquid|[L]IVAntibiotics|[L/M]END
7,"AA|CD|ER|IX|KEA|RJA|XLA",7,Yes,"5.00","0.00","202.00","0.86","0.67","0.60","10.00","250.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[M-REAL]CRP|[L/M]ERSepsisTriage|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]LacticAcid|[L]CRP|[L]IVLiquid|[L]IVAntibiotics|[L/M]END
8,"RB|FC|EE|IE|RL",5,Yes,"3.00","0.00","135.00","0.88","0.79","0.78","9.00","195.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[M-REAL]CRP|[L/M]ERSepsisTriage|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau split|[L]CRP|[L/M]AdmissionNC|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]ReleaseA|[L/M]END
9,"YD|XG|NY|LAA|GGA",5,Yes,"5.00","7.00","200.00","0.86","0.67","0.60","10.00","249.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[M-REAL]CRP|[L/M]ERSepsisTriage|[L]LacticAcid|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]CRP|[L]IVLiquid|[L]IVAntibiotics|[L/M]END
10,"FF|CCA|NFA|PHA|ZIA",5,Yes,"4.00","1.00","179.00","1.00","0.73","0.60","10.00","233.00",[L/M]START|[L/M]ERRegistration|[L/M]ERTriage|[L]ERSepsisTriage|[L/M]CRP|[M-INVI]tau from tree|[L/M]Leucocytes|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]LacticAcid|[L]IVLiquid|[L]IVAntibiotics|[L/M]END
