,dataset,esperimento,pattern,graph,Sub_12_present,Sub_15_present,Sub_12_compliant,Sub_15_compliant,respected,Sub12,Sub15
0,bpi17denied,pattern,157,graph2888,True,True,True,True,True,1,1
1,bpi17denied,pattern,157,graph2887,True,False,False,,True,1,0
2,bpi17denied,pattern,157,graph2886,True,False,False,,True,1,0
3,bpi17denied,pattern,157,graph2885,True,False,False,,True,1,0
4,bpi17denied,pattern,157,graph2884,True,True,True,True,True,0,1
5,bpi17denied,pattern,157,graph2883,True,True,True,True,True,1,1
6,bpi17denied,pattern,157,graph2882,True,False,False,,True,1,0
7,bpi17denied,pattern,157,graph2881,True,False,False,,True,1,0
8,bpi17denied,pattern,157,graph2880,True,False,False,,True,1,0
9,bpi17denied,pattern,157,graph2879,True,False,False,,True,1,0
10,bpi17denied,pattern,157,graph2878,True,True,True,True,True,1,1
11,bpi17denied,pattern,157,graph2877,True,True,True,True,True,1,1
12,bpi17denied,pattern,157,graph2876,True,False,False,,True,1,0
13,bpi17denied,pattern,157,graph2875,True,False,False,,True,1,0
14,bpi17denied,pattern,157,graph2874,True,False,False,,True,1,0
15,bpi17denied,pattern,157,graph2873,True,False,False,,True,1,0
16,bpi17denied,pattern,157,graph2872,True,True,True,True,True,1,1
17,bpi17denied,pattern,157,graph2871,True,True,True,True,True,1,1
18,bpi17denied,pattern,157,graph2870,True,True,True,True,True,1,1
19,bpi17denied,pattern,157,graph2869,True,True,True,True,True,1,1
20,bpi17denied,pattern,157,graph2868,True,True,True,True,True,1,1
21,bpi17denied,pattern,157,graph2867,True,True,True,True,True,1,1
22,bpi17denied,pattern,157,graph2866,True,False,False,,True,1,0
23,bpi17denied,pattern,157,graph2865,True,False,False,,True,1,0
24,bpi17denied,pattern,157,graph2864,True,True,True,True,True,1,0
25,bpi17denied,pattern,157,graph2863,True,True,True,True,True,1,0
26,bpi17denied,pattern,157,graph2862,True,False,False,,True,1,0
27,bpi17denied,pattern,157,graph2861,True,False,False,,True,1,0
28,bpi17denied,pattern,157,graph2860,True,False,False,,True,1,0
29,bpi17denied,pattern,157,graph2859,True,False,False,,True,1,0
30,bpi17denied,pattern,157,graph2858,True,False,False,,True,1,0
31,bpi17denied,pattern,157,graph2857,True,True,True,True,True,1,0
32,bpi17denied,pattern,157,graph2856,True,True,True,True,True,1,1
33,bpi17denied,pattern,157,graph2855,True,True,True,True,True,1,1
34,bpi17denied,pattern,157,graph2854,True,False,False,,True,1,0
35,bpi17denied,pattern,157,graph2853,True,True,True,True,True,1,1
36,bpi17denied,pattern,157,graph2852,True,True,True,True,True,1,1
37,bpi17denied,pattern,157,graph2851,True,False,False,,True,1,0
38,bpi17denied,pattern,157,graph2850,True,False,False,,True,1,0
39,bpi17denied,pattern,157,graph2849,True,False,False,,True,1,0
40,bpi17denied,pattern,157,graph2848,True,True,True,True,True,1,1
41,bpi17denied,pattern,157,graph2847,True,False,False,,True,1,0
42,bpi17denied,pattern,157,graph2846,True,False,False,,True,1,0
43,bpi17denied,pattern,157,graph2845,True,False,False,,True,1,0
44,bpi17denied,pattern,157,graph2844,True,False,False,,True,1,0
45,bpi17denied,pattern,157,graph2843,True,True,True,True,True,1,1
46,bpi17denied,pattern,157,graph2842,True,False,False,,True,1,0
47,bpi17denied,pattern,157,graph2841,True,False,False,,True,1,0
48,bpi17denied,pattern,157,graph2840,True,False,False,,True,1,0
49,bpi17denied,pattern,157,graph2839,True,False,False,,True,1,0
50,bpi17denied,pattern,157,graph2838,True,True,True,True,True,1,0
51,bpi17denied,pattern,157,graph2837,True,False,False,,True,1,1
52,bpi17denied,pattern,157,graph2836,True,False,False,,True,1,0
53,bpi17denied,pattern,157,graph2835,True,True,True,True,True,1,0
54,bpi17denied,pattern,157,graph2834,True,False,False,,True,1,0
55,bpi17denied,pattern,157,graph2833,True,False,False,,True,1,0
56,bpi17denied,pattern,157,graph2832,True,False,False,,True,1,0
57,bpi17denied,pattern,157,graph2831,True,True,True,True,True,1,1
58,bpi17denied,pattern,157,graph2830,True,False,False,,True,1,0
59,bpi17denied,pattern,157,graph2829,True,False,False,,True,1,0
60,bpi17denied,pattern,157,graph2828,True,False,False,,True,1,0
61,bpi17denied,pattern,157,graph2827,True,True,True,True,True,1,1
62,bpi17denied,pattern,157,graph2826,True,True,True,True,True,0,1
63,bpi17denied,pattern,157,graph2825,True,False,False,,True,1,0
64,bpi17denied,pattern,157,graph2824,True,False,False,,True,1,0
65,bpi17denied,pattern,157,graph2823,True,False,False,,True,1,0
66,bpi17denied,pattern,157,graph2822,True,True,True,True,True,0,1
67,bpi17denied,pattern,157,graph2821,True,False,False,,True,1,0
68,bpi17denied,pattern,157,graph2820,True,True,True,True,True,1,1
69,bpi17denied,pattern,157,graph2819,True,True,True,True,True,1,1
70,bpi17denied,pattern,157,graph2818,True,False,False,,True,1,0
71,bpi17denied,pattern,157,graph2817,True,False,False,,True,1,0
72,bpi17denied,pattern,157,graph2816,True,False,False,,True,1,0
73,bpi17denied,pattern,157,graph2815,True,False,False,,True,1,0
74,bpi17denied,pattern,157,graph2814,True,True,True,True,True,1,1
75,bpi17denied,pattern,157,graph2813,True,False,False,,True,1,0
76,bpi17denied,pattern,157,graph2812,True,True,True,True,True,1,1
77,bpi17denied,pattern,157,graph2811,True,False,False,,True,1,0
78,bpi17denied,pattern,157,graph2810,True,True,True,True,True,1,1
79,bpi17denied,pattern,157,graph2809,True,False,False,,True,1,0
80,bpi17denied,pattern,157,graph2808,True,True,True,True,True,1,1
81,bpi17denied,pattern,157,graph2807,True,False,False,,True,1,0
82,bpi17denied,pattern,157,graph2806,True,True,True,True,True,1,1
83,bpi17denied,pattern,157,graph2805,True,False,False,,True,1,0
84,bpi17denied,pattern,157,graph2804,True,False,False,,True,1,0
85,bpi17denied,pattern,157,graph2803,True,False,False,,True,1,0
86,bpi17denied,pattern,157,graph2802,True,False,False,,True,1,0
87,bpi17denied,pattern,157,graph2801,True,True,True,True,True,1,0
88,bpi17denied,pattern,157,graph2800,True,True,True,True,True,1,1
