,dataset,esperimento,pattern,graph,Sub_3_present,Sub_92_present,Sub_42_present,Sub_3_compliant,Sub_92_compliant,Sub_42_compliant,respected,Sub3,Sub92,Sub42
0,bpi17denied,pattern,240,graph2956,True,False,False,False,,,True,1,1,1
1,bpi17denied,pattern,240,graph2955,True,True,True,True,True,True,True,0,1,0
2,bpi17denied,pattern,240,graph2954,False,False,False,,,,True,1,1,0
3,bpi17denied,pattern,240,graph2953,False,False,False,,,,True,0,1,0
4,bpi17denied,pattern,240,graph2952,True,True,True,True,True,True,True,0,1,1
5,bpi17denied,pattern,240,graph2951,False,False,False,,,,True,0,1,0
6,bpi17denied,pattern,240,graph2950,False,False,False,,,,True,0,1,0
7,bpi17denied,pattern,240,graph2949,False,False,False,,,,True,0,1,0
8,bpi17denied,pattern,240,graph2948,True,False,False,False,,,True,1,1,0
9,bpi17denied,pattern,240,graph2947,False,False,False,,,,True,0,1,0
10,bpi17denied,pattern,240,graph2946,False,False,False,,,,True,0,1,1
11,bpi17denied,pattern,240,graph2945,False,False,False,,,,True,0,1,0
12,bpi17denied,pattern,240,graph2944,True,False,False,False,,,True,1,1,0
13,bpi17denied,pattern,240,graph2943,False,False,False,,,,True,0,1,1
14,bpi17denied,pattern,240,graph2942,True,False,False,False,,,True,1,1,0
15,bpi17denied,pattern,240,graph2941,False,False,False,,,,True,0,1,1
16,bpi17denied,pattern,240,graph2940,True,False,False,False,,,True,1,0,0
17,bpi17denied,pattern,240,graph2939,True,True,True,True,True,True,True,1,1,1
18,bpi17denied,pattern,240,graph2938,True,True,True,True,True,True,True,1,1,0
19,bpi17denied,pattern,240,graph2937,True,False,False,False,,,True,1,1,1
20,bpi17denied,pattern,240,graph2936,True,False,False,False,,,True,1,1,0
21,bpi17denied,pattern,240,graph2935,True,True,True,True,True,True,True,1,1,0
22,bpi17denied,pattern,240,graph2934,True,True,True,True,True,True,True,1,1,1
23,bpi17denied,pattern,240,graph2933,False,False,False,,,,True,1,1,0
24,bpi17denied,pattern,240,graph2932,True,False,False,False,,,True,1,1,0
25,bpi17denied,pattern,240,graph2931,True,True,True,True,True,True,True,1,1,0
26,bpi17denied,pattern,240,graph2930,True,False,False,False,,,True,1,1,0
27,bpi17denied,pattern,240,graph2929,True,True,True,True,True,True,True,1,1,0
28,bpi17denied,pattern,240,graph2928,False,False,False,,,,True,0,1,0
29,bpi17denied,pattern,240,graph2927,True,False,False,False,,,True,1,1,0
30,bpi17denied,pattern,240,graph2926,False,False,False,,,,True,0,1,0
31,bpi17denied,pattern,240,graph2925,True,True,True,True,True,True,True,1,1,1
32,bpi17denied,pattern,240,graph2924,True,True,True,True,True,True,True,1,1,1
33,bpi17denied,pattern,240,graph2923,False,False,False,,,,True,1,1,0
34,bpi17denied,pattern,240,graph2922,True,False,False,False,,,True,1,0,0
35,bpi17denied,pattern,240,graph2921,True,True,True,True,True,True,True,0,1,1
36,bpi17denied,pattern,240,graph2920,True,True,True,True,True,True,True,1,1,1
37,bpi17denied,pattern,240,graph2919,True,True,True,True,True,True,True,1,0,0
38,bpi17denied,pattern,240,graph2918,False,False,False,,,,True,0,1,1
39,bpi17denied,pattern,240,graph2917,False,False,False,,,,True,0,1,0
40,bpi17denied,pattern,240,graph2916,True,True,True,True,True,True,True,1,1,1
41,bpi17denied,pattern,240,graph2915,True,False,False,False,,,True,1,0,0
42,bpi17denied,pattern,240,graph2914,True,True,True,True,True,True,True,1,1,1
43,bpi17denied,pattern,240,graph2913,False,False,False,,,,True,1,1,0
44,bpi17denied,pattern,240,graph2912,False,False,False,,,,True,0,1,0
45,bpi17denied,pattern,240,graph2911,True,False,False,False,,,True,1,1,0
46,bpi17denied,pattern,240,graph2910,False,False,False,,,,True,1,1,0
47,bpi17denied,pattern,240,graph2909,True,False,False,False,,,True,1,1,0
48,bpi17denied,pattern,240,graph2908,True,True,True,True,True,True,True,1,1,1
49,bpi17denied,pattern,240,graph2907,True,False,False,False,,,True,1,1,0
